# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.7.0

rpg::entitydef::decayed_archer, string, 8008736B656C65746F6E
rpg::itemdef::bread::rarity, integer, 00000000
rpg::itemdef::bread::value, integer, 00000004
rpg::itemdef::rotten_branch, string, 800C776F6F64656E2073776F7264
rpg::itemdef::rotten_branch::display_description::1, string, 80312D20412068616C662D646563617965642074726565206272616E63682E204C6F6F6B73206C696B65206974206D69676874
rpg::itemdef::rotten_branch::display_description::2, string, 80232020736E617020696620796F7520776861636B206974206861726420656E6F7567682E
rpg::itemdef::rotten_branch::display_name, string, 800D526F7474656E204272616E6368
rpg::itemdef::rotten_branch::durability, integer, 0000001E
rpg::itemdef::rotten_branch::item_level, integer, 00000001
rpg::itemdef::rotten_branch::item_type, string, 8006776561706F6E
rpg::itemdef::rotten_branch::params::attack_damage_primary, double, 4000000000000000
rpg::itemdef::rotten_branch::params::attack_speed_primary, double, C000000000000000
rpg::itemdef::rotten_branch::rarity, integer, 00000000
rpg::itemdef::rotten_branch::value, integer, 0000000A
rpg::itemdef::rotten_branch2, string, 800C776F6F64656E2073776F7264
rpg::itemdef::rotten_branch2::display_description::1, string, 80312D20412068616C662D646563617965642074726565206272616E63682E204C6F6F6B73206C696B65206974206D69676874
rpg::itemdef::rotten_branch2::display_description::2, string, 80232020736E617020696620796F7520776861636B206974206861726420656E6F7567682E
rpg::itemdef::rotten_branch2::display_name, string, 800D526F7474656E204272616E6368
rpg::itemdef::rotten_branch2::durability, integer, 0000001E
rpg::itemdef::rotten_branch2::item_level, integer, 00000001
rpg::itemdef::rotten_branch2::item_type, string, 8006776561706F6E
rpg::itemdef::rotten_branch2::params::attack_damage_primary, double, 4000000000000000
rpg::itemdef::rotten_branch2::params::attack_speed_primary, double, C000000000000000
rpg::itemdef::rotten_branch2::rarity, integer, 00000001
rpg::itemdef::rotten_branch2::value, integer, 0000000A
rpg::itemdef::rotten_longbow, string, 8003626F77
rpg::itemdef::rotten_longbow::display_description::1, string, 802D2D2041206C6F6E67626F77206D6164652066726F6D206465636179696E672061736820776F6F642C2068656C64
rpg::itemdef::rotten_longbow::display_description::2, string, 801C2020746F67657468657220627920747769737465642076696E65732E
rpg::itemdef::rotten_longbow::display_name, string, 800E526F7474656E204C6F6E67626F77
rpg::itemdef::rotten_longbow::durability, integer, 00000019
rpg::itemdef::rotten_longbow::item_level, integer, 00000001
rpg::itemdef::rotten_longbow::item_type, string, 8006776561706F6E
rpg::itemdef::rotten_longbow::params::attack_damage_primary, double, 4022000000000000
rpg::itemdef::rotten_longbow::rarity, integer, 00000001
rpg::itemdef::rotten_longbow::value, integer, 0000000A
rpg::itemdef::rotting_flesh, string, 800C726F7474656E20666C657368
rpg::itemdef::rotting_flesh::display_description::1, string, 802E2D20412064697367757374696E672068756E6B206F66206465636179696E6720636F727073652E20426172656C79
rpg::itemdef::rotting_flesh::display_description::2, string, 80092020656469626C652E
rpg::itemdef::rotting_flesh::display_name, string, 800D526F7474696E6720466C657368
rpg::itemdef::rotting_flesh::item_level, integer, 00000001
rpg::itemdef::rotting_flesh::item_type, string, 800A636F6E73756D61626C65
rpg::itemdef::rotting_flesh::params::food_primary, double, 4000000000000000
rpg::itemdef::rotting_flesh::rarity, integer, 00000000
rpg::itemdef::rotting_flesh::value, integer, 00000001
rpg::loot_tabledef::decayed_archer, string, 8000
rpg::loot_tabledef::decayed_corpse, string, 8000
rpg::loot_tabledef::undead_general, string, 8000
rpg::prefixdef::bent, string, 8000
rpg::prefixdef::bent::armor, double, BFB999999999999A
rpg::prefixdef::bent::attack_damage, double, BFB999999999999A
rpg::prefixdef::bent::display_name, string, 800442656E74
rpg::prefixdef::bent::item_types::1, string, 8006776561706F6E
rpg::prefixdef::bent::rarity, long, FFFFFFFFFFFFFFFF
rpg::prefixdef::broken, string, 8000
rpg::prefixdef::broken::armor, double, BFC999999999999A
rpg::prefixdef::broken::attack_damage, double, BFC999999999999A
rpg::prefixdef::broken::display_name, string, 800642726F6B656E
rpg::prefixdef::broken::item_types::1, string, 8006776561706F6E
rpg::prefixdef::broken::item_types::2, string, 800561726D6F72
rpg::prefixdef::broken::rarity, long, FFFFFFFFFFFFFFFF
rpg::raritydef::0::primary_color, string, 8003C2A738
rpg::raritydef::0::secondary_color, string, 8003C2A737
rpg::raritydef::1::primary_color, string, 8003C2A737
rpg::raritydef::1::secondary_color, string, 8003C2A766
rpg::raritydef::2::primary_color, string, 8003C2A731
rpg::raritydef::2::secondary_color, string, 8003C2A739
rpg::raritydef::3::primary_color, string, 8003C2A733
rpg::raritydef::3::secondary_color, string, 8003C2A762
rpg::raritydef::4::primary_color, string, 8003C2A732
rpg::raritydef::4::secondary_color, string, 8003C2A761
rpg::raritydef::5::primary_color, string, 8003C2A736
rpg::raritydef::5::secondary_color, string, 8003C2A765
rpg::raritydef::6::primary_color, string, 8003C2A734
rpg::raritydef::6::secondary_color, string, 8003C2A763
rpg::raritydef::7::primary_color, string, 8003C2A735
rpg::raritydef::7::secondary_color, string, 8003C2A764
rpg::signcolor_negative, string, 8003C2A763
rpg::signcolor_neutral, string, 8003C2A736
rpg::signcolor_positive, string, 8003C2A732
rpgdb::level::cff044bd-de39-35dd-aada-0d7d82e1b38b, long, 0000000000000007
rpgdb::spawners::1, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C0514000000000000179094050400000000000017A09C076F000000000000570697463680800000000037961770800000000
rpgdb::spawners::1::mob_count, long, 0000000000000001
rpgdb::spawners::1::mob_id, string, 800E756E646561645F67656E6572616C
rpgdb::spawners::2, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C067C000000000000179094051400000000000017A09C0742000000000000570697463680800000000037961770800000000
rpgdb::spawners::2::mob_count, long, 0000000000000001
rpgdb::spawners::2::mob_id, string, 800E646563617965645F636F72707365
rpgdb::spawners::3, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C067C000000000000179094051800000000000017A09C0720000000000000570697463680800000000037961770800000000
rpgdb::spawners::3::mob_count, long, 0000000000000001
rpgdb::spawners::3::mob_id, string, 800E646563617965645F636F72707365
rpgdb::spawners::4, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C062E000000000000179094053000000000000017A09C0706000000000000570697463680800000000037961770800000000
rpgdb::spawners::4::mob_count, long, 0000000000000001
rpgdb::spawners::4::mob_id, string, 800E646563617965645F636F72707365
rpgdb::spawners::5, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C05EC000000000000179094051C00000000000017A09C0717000000000000570697463680800000000037961770800000000
rpgdb::spawners::5::mob_count, long, 0000000000000001
rpgdb::spawners::5::mob_id, string, 800E646563617965645F636F72707365
rpgdb::spawners::6, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C057C000000000000179094050400000000000017A09C0733000000000000570697463680800000000037961770800000000
rpgdb::spawners::6::mob_count, long, 0000000000000001
rpgdb::spawners::6::mob_id, string, 800E646563617965645F636F72707365
rpgdb::spawners::7, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C0588000000000000179094050000000000000017A09C0759000000000000570697463680800000000037961770800000000
rpgdb::spawners::7::mob_count, long, 0000000000000001
rpgdb::spawners::7::mob_id, string, 800E646563617965645F636F72707365
rpgdb::spawners::8, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C059C000000000000179094050400000000000017A09C07A3000000000000570697463680800000000037961770800000000
rpgdb::spawners::8::mob_count, long, 0000000000000003
rpgdb::spawners::8::mob_id, string, 800E646563617965645F636F72707365
rpgdb::spawners::9, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C05E8000000000000179094050000000000000017A09C079B000000000000570697463680800000000037961770800000000
rpgdb::spawners::9::mob_count, long, 0000000000000003
rpgdb::spawners::9::mob_id, string, 800E646563617965645F636F72707365
rpgdb::spawners::10, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C061C000000000000179094050000000000000017A09C078F000000000000570697463680800000000037961770800000000
rpgdb::spawners::10::mob_count, long, 0000000000000001
rpgdb::spawners::10::mob_id, string, 800E646563617965645F636F72707365
rpgdb::spawners::11, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C06D6000000000000179094051400000000000017A09C0748000000000000570697463680800000000037961770800000000
rpgdb::spawners::11::mob_count, long, 0000000000000002
rpgdb::spawners::11::mob_id, string, 800E646563617965645F636F72707365
rpgdb::spawners::12, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C06F8000000000000179094051400000000000017A09C0732000000000000570697463680800000000037961770800000000
rpgdb::spawners::12::mob_count, long, 0000000000000001
rpgdb::spawners::12::mob_id, string, 800F646563617965645F67656E6572616C
rpgdb::spawners::13, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C06E4000000000000179094051C00000000000017A09C0724000000000000570697463680800000000037961770800000000
rpgdb::spawners::13::mob_count, long, 0000000000000001
rpgdb::spawners::13::mob_id, string, 800E756E646561645F67656E6572616C
rpgdb::spawners::14, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C0650000000000000179094051800000000000017A09C07C9000000000000570697463680800000000037961770800000000
rpgdb::spawners::14::mob_count, long, 0000000000000001
rpgdb::spawners::14::mob_id, string, 800E646563617965645F617263686572
rpgdb::spawners::15, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C066A000000000000179094052000000000000017A09C07AD000000000000570697463680800000000037961770800000000
rpgdb::spawners::15::mob_count, long, 0000000000000001
rpgdb::spawners::15::mob_id, string, 800E646563617965645F617263686572
rpgdb::xp::cff044bd-de39-35dd-aada-0d7d82e1b38b, double, 4026CE4B071B411A

