# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.7.0

level::cff044bd-de39-35dd-aada-0d7d82e1b38b, long, 0000000000000003
rpg::activeentities::54, string, 802464343761326365382D336134652D346561302D613632372D383537663934623439326537
rpg::activeentities::55, string, 802464343761326365382D336134652D346561302D613632372D383537663934623439326537
rpg::activeentities::59, string, 802466373266613235312D666134342D343462632D623933632D306437623037323937626333
rpg::entitydef::lv5_zombie, string, 80067A6F6D626965
rpg::entitydef::lv5_zombie::attack_damage, long, 0000000000000004
rpg::entitydef::lv5_zombie::display_name, string, 80065A6F6D626965
rpg::entitydef::lv5_zombie::head, string, 800464697274
rpg::entitydef::lv5_zombie::level, long, 0000000000000005
rpg::entitydef::lv5_zombie::loot_table, string, 800A6C76355F7A6F6D626965
rpg::entitydef::lv5_zombie::max_health, long, 000000000000002D
rpg::itemdef::bread, string, 80056272656164
rpg::itemdef::bread::display_description::1, string, 800F2D2054686973206973206272656164
rpg::itemdef::bread::display_name, string, 80054272656164
rpg::itemdef::bread::food, double, 4000000000000000
rpg::itemdef::bread::item_level, long, 0000000000000001
rpg::itemdef::bread::item_type, string, 8004666F6F64
rpg::itemdef::bread::rarity, long, 0000000000000001
rpg::itemdef::wooden_sword, string, 800C776F6F64656E2073776F7264
rpg::itemdef::wooden_sword::attack_damage, double, 4014000000000000
rpg::itemdef::wooden_sword::attack_speed, double, C000000000000000
rpg::itemdef::wooden_sword::crit_chance, double, 3FB999999999999A
rpg::itemdef::wooden_sword::display_description::1, string, 80182D2054686973206973206120776F6F64656E2073776F7264
rpg::itemdef::wooden_sword::display_description::2, string, 800F2D20326E642064657363206C696E65
rpg::itemdef::wooden_sword::display_name, string, 800C576F6F64656E2053776F7264
rpg::itemdef::wooden_sword::durability, long, 00000000000000C8
rpg::itemdef::wooden_sword::item_level, long, 0000000000000001
rpg::itemdef::wooden_sword::item_type, string, 8006776561706F6E
rpg::itemdef::wooden_sword::rarity, long, 0000000000000001
rpg::loot_tabledef::lv5_zombie::items::1, string, 801A317C62726F6B656E2C7C776F6F64656E5F73776F72647C312E30
rpg::loot_tabledef::lv5_zombie::xp, string, 800531302D3230
rpg::prefixdef::bent, string, 8000
rpg::prefixdef::bent::armor, double, BFB999999999999A
rpg::prefixdef::bent::attack_damage, double, BFB999999999999A
rpg::prefixdef::bent::display_name, string, 800442656E74
rpg::prefixdef::bent::item_types::1, string, 8006776561706F6E
rpg::prefixdef::bent::rarity, long, FFFFFFFFFFFFFFFF
rpg::prefixdef::broken, string, 8000
rpg::prefixdef::broken::armor, double, BFC999999999999A
rpg::prefixdef::broken::attack_damage, double, BFC999999999999A
rpg::prefixdef::broken::display_name, string, 800642726F6B656E
rpg::prefixdef::broken::item_types::1, string, 8006776561706F6E
rpg::prefixdef::broken::item_types::2, string, 800561726D6F72
rpg::prefixdef::broken::rarity, long, FFFFFFFFFFFFFFFF
rpg::raritydef::0::primary_color, string, 8003C2A738
rpg::raritydef::0::secondary_color, string, 8003C2A737
rpg::raritydef::1::primary_color, string, 8003C2A737
rpg::raritydef::1::secondary_color, string, 8003C2A766
rpg::raritydef::2::primary_color, string, 8003C2A731
rpg::raritydef::2::secondary_color, string, 8003C2A739
rpg::raritydef::3::primary_color, string, 8003C2A733
rpg::raritydef::3::secondary_color, string, 8003C2A762
rpg::raritydef::4::primary_color, string, 8003C2A732
rpg::raritydef::4::secondary_color, string, 8003C2A761
rpg::raritydef::5::primary_color, string, 8003C2A736
rpg::raritydef::5::secondary_color, string, 8003C2A765
rpg::raritydef::6::primary_color, string, 8003C2A734
rpg::raritydef::6::secondary_color, string, 8003C2A763
rpg::raritydef::7::primary_color, string, 8003C2A735
rpg::raritydef::7::secondary_color, string, 8003C2A764
rpg::signcolor_negative, string, 8003C2A763
rpg::signcolor_neutral, string, 8003C2A736
rpg::signcolor_positive, string, 8003C2A732
rpg::spawners::1, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C05E8000000000000179094050000000000000017A09C079B000000000000570697463680800000000037961770800000000
rpg::spawners::1::mob_count, long, 0000000000000003
rpg::spawners::1::mob_id, string, 800A6C76355F7A6F6D626965
rpg::spawners::1::mobcount, long, 0000000000000003
rpg::spawners::1::mobid, string, 800A6C76355F7A6F6D626965
rpg::spawners::2, location, 8605776F726C6480FF0000000181046E616D652080066D765F6D6170017809C0650000000000000179094051800000000000017A09C07C9000000000000570697463680800000000037961770800000000
rpg::spawners::2::mob_count, long, 0000000000000003
rpg::spawners::2::mob_id, string, 800A6C76355F7A6F6D626965
xp::cff044bd-de39-35dd-aada-0d7d82e1b38b, double, 401E6A63F19D79E0

